Nom	Description	Adresse	URL	Equipements	Horaire	Type	Superficie	Postes	7j/7	Parking	Services
Wellio Marseille La Joliette	Découvrez le pro-working chez Wellio Marseille. Un environnement coloré et lumineux, inspiré del’univers maritime à deux pas des Docks au cœur du quartier Euromed.Né de l’expérience de Covivio dans les espaces de travail développés pour les grands comptes, Welliomet aujourd’hui à la disposition de toutes les entreprises ces standards d’efficacité en termes delocalisation, confidentialité, connectivité et confort.Bureau privé pour se concentrer, coworking pour échanger, lieu décadrant pour stimuler votrecréativité ; nos espaces pluriels & flexibles s’adaptent à vos enjeux, à votre image.Une offre all-included pour que vous ne pensiez qu’à vos projets :L’intelligence des lieux : connectivité dernière génération, conseil personnalisé en IT et bureauxresponsive.Le luxe de la sérénité : équipe dédiée sur site, sécurité et confidentialité de vos espaces.Se concentrer sur l’essentiel : prestation incluant mobilier de bureaux, charges communes etprivatives de l’immeuble, reprographie avec crédits, conciergerie, espace de restauration sur place…Des idées qui circulent : Accès aux espaces communs du site pour se détendre ou travailler : bar,gaming zone, lounge, bulles téléphoniques, espaces de travail informels, alcôves. Et pour networker,programme d’animations hebdomadaires et accès à tout le réseau Wellio !	48 Quai de Lazaret, 13002 Marseille	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6402/centre-d-affaires-marseille-wellio-marseille-la-joliette	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h00 - 19h00	Centre d'affaires	2300	424	Non	Oui	Eau castalie en libre-service//Casier//Copieur multifonctions (avec crédits inclus)//Wifi fibre noire double adduction redondante//Accès sécurisé par badge 24h/24h 7j/7j//Accès à tous les espaces communs du site//Equipe d’accueil//Conciergerie//Domiciliation//Morning 5€/unité//Imprimante - crédits reprographie 10€/unité
Kerwork	Kerwork est un espace de coworking à Vannes en Bretagne. Nous disposons d'un emplacement idéal directement sur le port de Vannes. De nombreux restaurants à proximité et une grand esplanade pour profiter du soleil ! Notre espace peut accueillir jusqu'à 16 personnes et notre salle de réunion jusqu'à 5 personnes. Nous mettons à disposition du café, du thé, des gâteaux, des fruits et tous les éléments pratiques dans la cuisine pour vous sentir comme à la maison. Profitez de notre canapé pour vous détendre et feuilleter nos livres et magazines choisis avec soin :)	1 rue du Drezen, 56000 Vannes	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7011/coworking-vannes-kerwork	Internet haut débit//Espace pause//Cuisine	7h00 - 22h00	Coworking	80	21	Oui	Oui	Casier//Imprimante//Matériel de bureau//Parking sur le port//Scanner//Tableaux//Vidéo-projecteur//Équipement de cuisine
NEWTON OFFICES - Marseille - Joliette	Chez Newton, rien n’est le fruit du hasard.Dès la conception des bâtiments, nous imaginons des espaces qui répondent à l’évolution des usages de vie au travail et à ce que nous pensons être le bureau idéal pour chacun.Nous sélectionnons notre mobilier et nos matériaux sur des critères ergonomiques, acoustiques en collaboration avec des experts, mais aussi esthétiques, travaillons sur une utilisation intelligente de la lumière et des espaces, qu’ils soient exclusifs ou communs. Notre vision est celle d’un monde -celui du travail- qui change, et qui est en mouvement constant tel le Pendule de Newton, libérant maintes énergies : créatives, individuelles et collectives.Pour faciliter ce mouvement, et les déplacements de nos clients, nos établissements sont centraux, faciles d’accès, au cœur de la vie économique. A proximité immédiate de différents modes de transports, et dans les grandes métropoles régionales pour densifier le maillage avec Paris.Chez Newton, tout est mis en œuvre pour concentrer l’énergie et impulser le mouvement : du traitement intelligent de la lumière au traitement spécifique des escaliers. Car pour croquer la vie professionnelle à pleines dents, les espaces doivent permettre à tous de phosphorer, de stimuler ses neurones et aussi de s’oxygéner. Parce que les m2 c’est bien, avec une grande bouffée d’O2 et de vitamine D, c’est encore mieux.Le résultat : des espaces où il fait bon, bien et beau travailler.	113 rue de la République, 13002 Marseille	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5318/coworking-marseille-newton-offices-marseille-joliette	Internet haut débit//Une personne à l'accueil//Espace pause//Cuisine//Climatisation	9h00 - 18h00	Coworking	2200	254	Oui	Oui	It phone//Scanner//Visio-conférence//Ecran de visionnage//Avantages partenaires commerçants//It evènements//Envoi et réception du courrier//Accueil client//Tapis de course//Casiers 20€/mois//Visio-conférence 55€/heure//It bien-etre 0€/unité
Weréso Marseille GARE SAINT CHARLES	"Bienvenue dans notre espace de coworking flambant neuf situé dans la gare de Marseille Saint-Charles !Bénéficiez de l'accueil réservé à nos coworkers et des espaces partagés pour vous détendre lors de vos pauses. Profitez de nombreux équipements et services pour travailler dans les meilleures conditions dans notre espace moderne et convivial. Idéalement situé dans la gare, notre espace bénéficie de la proximité des transports en commun locaux, régionaux et nationaux.>> Atouts principaux de nos espaces et nos servicesDes espaces de travail flexibles, chaleureux et connectés favorisant l'épanouissement, l'engagement et la productivité des coworkers. Une équipe ""oui power"" qui reçoit, accompagne, anime le réseau et crée du lien.>> Nos événements de prédilectionEvénements networking, petits déjeuners inspirants, afterwork, soirées... Des rencontres professionnelles avec la ""weréso Academy"" : chaque jeudi, un rendez-vous incontournable animé par un expert ou un décideur.>> Situation géographique et accessibilitéNotre espace est situé dans la gare de Marseille Saint-Charles, halle Honnorat, côté Place Victor Hugo (université Aix-Marseille et gare routière), en bas des escaliers."	Esplanade Saint-Charles - Halle Honnorat, 13001 Marseille	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6361/coworking-marseille-wereso-marseille-gare-saint-charles	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h00 - 16h00	Coworking	500	696	Non	Oui	Table de réunion//Box de confidentialité//Imprimante//Matériel de bureau//Périphériques informatiques//Scanner//Xerox//Tv//Tv//Tableaux//Tableaux//Téléphone//Vidéo-projecteur//Visio-conférence//Écran//Écran//Équipement de cuisine//Équipement de cuisine//Accueil dédié//Activité//Gestion du courrier//Mise en place de la salle//Salle d'eau//Forfait boissons déjeuner 10€/unité//Lunchbox 13€/unité//Coffret repas 3 plats 29€/unité//Déjeuner au restaurant 23€/unité//Pause gourmande 3€/unité//Petit déjeuner 5€/unité//Xerox 0.5€/unité//Conciergerie 15€/unité//Domiciliation 30€/mois
Regus Marseille - Les Docks	Le centre Marseille Les Docks occupe le quatrième étage d'un bâtiment rénové dans le cadre du projet Les Docks visant à redynamiser le port historique, en transformant les entrepôts en bureaux et le quartier de La Joliette en quartier d'affaires florissant. Marseille est le plus grand port commercial français et et porte fièrement ses titres de capitale européenne de la culture et du sport.Pour toute demande de domiciliation (bureaux), vous pouvez vous rendre ici => https://www.regus.fr/virtual-office	10, place de la Joliette, 13002 Marseille	https://www.neo-nomade.com/mb-47-bnpp_re/espace/405/centre-d-affaires-marseille-regus-marseille-les-docks	Internet haut débit	9h00 - 18h00	Centre d'affaires		199	Non	Oui	Espace confidentiel//Rangements sécurisés//Mise à disposition d'ordinateur//Accueil dédié//Secrétariat//Conciergerie//La pause café 3€/unité//La pause macaron 6€/unité//Le petit déjeuner 5.5€/unité//La pause boisson 4.5€/unité
COSENS	Cosens est un coworking ouvert à tous.Incubateur d'entreprises créé et développé en 1998 par des entrepreneurs marseillais, sa mission est de révéler l'esprit de chef d'entreprise au travers de parcours innovants.L'accompagnement Cosens allie l'expertise de son équipe de consultants avec l'expérience terrain de chefs d'entreprise bénévoles.Cosens développe un écosystème favorable à la création et au développement d'entreprises responsables organisé autour de 3 pôles: Couveuse, Formation et coworking.	2 A RUE DE ROME ( Entrée par rue de la glace), 13001 MARSEILLE	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5285/coworking-marseille-cosens	Internet haut débit//Accès handicapé//Espace pause//Cuisine	9h00 - 18h00	Coworking	370	237	Non	Oui	Café//Fontaine d'eau//Prise rj45//Télé de projection//Tableau interactif//Une personne à l'accueil//Plateau repas 25€/unité//Collation 5€/unité//Petit-déjeuner 5€/unité//Imprimante 0.02€/unité 0.15€/unité
The Babel Community Marseille	The Babel Community, c’est une expérience qui commence par notre restaurant / bar à cocktails, ouvert du Lundi au Samedi de 8h à 00h, dans lequel vous pouvez aussi bien venir déguster notre plat du jour pour le déjeuner, que venir entre amis profiter de nos antipasti “perfect to share” au son de nos DJs residents.The Babel Community, c’est aussi des espaces de coworking : que vous soyez de jeunes start-upers, en freelance, ou employés de grandes entreprises, nous vous proposons des espaces allant du poste de travail en open space au bureau indépendant de 1 à 8 places en passant par la salle de réunion.Le coliving est également partie intégrante de l’expérience The Babel Community : louez votre appartement en colocation, studio, T1 et T2 meublés et super équipés en plein coeur de Marseille !Que serait The Babel Community sans tous ses services ? Cinéma, salle de sport, conciergerie, desk service et Internet très haut-débit, services de ménage. Bienvenue dans la nouvelle expérience urbaine : The Babel Community !	70, rue de la République, 13002 Marseille	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6639/coworking-marseille-the-babel-community-marseille	Internet haut débit//Accès handicapé//Espace pause//Espace extérieur//Cuisine//Climatisation	8h00 - 22h00	Coworking	4000	396	Non	Oui	Box de confidentialité//Imprimante//Matériel de bureau//Matériel de sonorisation//Périphériques informatiques//Scanner//Tv//Tableaux//Vidéo-projecteur//Visio-conférence//Écran//Équipement de cuisine//Bar//Conciergerie//Gestion du courrier//Salle de sport//Déjeuner trattoria 19€/unité//Aperitivo 15€/unité//Pause gourmande 6€/unité
Now coworking Marseille	Now coworking a ouvert 2900 m2 d'espaces de travail partagés face au Vieux-Port. Salles de réunion, bureaux privatifs, bureaux partagés, espaces de travail nomades ... tout a été créé et designé pour que vous vous sentiez au travail comme à la maison !Un espace design, cosy et premium à découvrir rapidement !	19 quai de rive neuve, 13007 Marseille	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8251/coworking-marseille-now-coworking-marseille	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h00 - 18h00	Coworking	2900	298	Non	Oui	Box de confidentialité//Box de confidentialité//Imprimante//Matériel de sonorisation//Scanner//Scanner//Tv//Tableaux//Vidéo-projecteur//Visio-conférence//Écran//Équipement de cuisine//Équipement de cuisine//Accueil dédié//Activité//Domiciliation//Gestion du courrier//Mise en place de la salle//Salle d'eau//Salle de sport//Pause goûter 5€/unité//Accueil petit-déjeuner 5€/unité//Casier 10€/unité//Domiciliation 50€/unité
POLIDESK	Polidesk est un centre de coworking offrant 3 open spaces de 4 à 6 Personnes et 5 bureaux de 2 à 3 personnes, dans un cadre et une architecture exceptionnels, à 5 min du centre de Vannes et 3 min du Golfe du Morbihan.	Parc de Doaren Molac, 56610 Arradon	https://www.neo-nomade.com/mb-47-bnpp_re/espace/3415/coworking-arradon-polidesk	Internet haut débit//Accès handicapé//Espace extérieur//Cuisine	9h00 - 18h30	Coworking	400	17	Non	Oui	Café grain et thés grand crus à volonté//Salles de réunion pour les locataires//Rangements sécurisés//Impression laser n&b et couleur//15 places de parking privées//Scanner d'archivage et mail recto verso xerox//Téléphones fixe//Téléphones fixe//Vidéo projecteur à disposition de tous//Agréement de domiciliataire d'entreprise//Numérisation et distribution du courrier//Badge d'accès automatique//Accès 24/7
Make it Marseille	Dans un espace de 450 m2 en plein centre ville, Make it Marseille propose aux professionnels de la création un lieu inspirant et équipé pour passer de l'idée à la réalisation de leurs projets : des ateliers partagés et outillés (machines traditionnelles et numériques), des espaces de coworking et de réunion, une programmation stimulante et une communauté riche de savoir-faire. L'objectif : Créer un écosystème vertueux pour permettre aux talents d'éclore, aux entreprises d’innover et au grand public de créer grâce au faire ensemble.	108 rue Breteuil, 13006 Marseille	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5084/coworking-marseille-make-it-marseille	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine	8h00 - 19h00	Coworking	450	75	Non	Oui	Call box//Casier//Traceur | scanner | copieur//Imprimante//Sonorisation conférence | 2 micro hf//Parking public à 50m//Tableaux//Vestiaire//2 vidéo-projecteur//Vidéo-projecteur//Vidéo-projecteur//Ecrans ordi//Écran//Équipement de cuisine//Équipement de cuisine//Ateliers partagés//Pause café 4.5€/unité//Petit déjeuner 7€/unité//Soupes 5€/unité//Casiers | stockage - module m 0€/unité//Plusieurs salles de 9m2 à 90m2 0€/unité
CENTRE ATLAS	Bienvenue au Centre Atlas. Votre espace de travail au coeur de Marseille. Dans le quartier d'affaires de Castellane, sur la prestigieuse Avenue du Prado. Startups, indépendants, TPE/PME, nous avons une solution pour vous. Des espaces de travail confortables, tout équipés, hauts de gamme, dans un emplacement stratégique. A proximité immédiate de tous les modes de transports en communs (bus, métro, tram), des axes autoroutiers et des parkings auto/moto. Quartier animé et agréable (restaurants, cafés, bars, boutiques, salles de sport, collé au cinéma historique Le Prado).COWORKING BUREAUX EQUIPES SALLES DE REUNION Connexion internet très haut débit (fibre optique) wifi et RJ45 Lumière naturelle avec grandes fenêtres et vues dégagées dans toutes les pièces. Cour intérieure avec jardin, rare en centre ville.	24 Avenue du Prado, 13006 Marseille	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6315/centre-d-affaires-marseille-centre-atlas	Internet haut débit//Une personne à l'accueil//Espace pause//Espace extérieur//Climatisation	8h30 - 18h30	Centre d'affaires	400	58	Non	Oui	"Casier//Casier//Imprimante multifonctions//Imprimante//Imprimante//Scanner//Tv//Tableaux//Tableaux//Téléphone//Téléphone//Vidéo-projecteur//Gestion du courrier//Mise en place de la salle//Parking 120€/mois//Ecran ordinateur 24"" 5€/journée//Domiciliation 40€/mois"
Regus Marseille - 165 Prado	Le centre se trouve au et huitième étage d'un immeuble contemporain et est doté de magnifiques terrasses avec vue sur la ville et la colline Périer.- Connexion Internet haut débit illimité pour rester toujours connecté- Service de messagerie vocal pour ne jamais manquer d'appels importants- Une adresse prestigieuse à 10 minutes du port en transport- Accès à la cafétéria de l'immeuble, idéal pour un déjeuner de travail- Accès au salon d'affaires pour continuer à travailler durant vos déplacements- Salles de réunion professionnelles	165 Avenue du Prado, 13008 Marseille	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8285/centre-d-affaires-marseille-regus-marseille-165-prado	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires	200	150	Non	Oui	
MULTIBURO MARSEILLE PRADO	Vos bureaux à Marseille à quelques mètres de la plage du Prado. Grâce à Multiburo, vous pouvez installer votre entreprise pour seulement 285€ par mois. Le centre vous propose un ensemble de solutions immobilières flexibles. Dans un cadre professionnel vous trouverez les solutions immobilières évolutives suivantes : Espace de coworking à partir de 295€ avec internet et siège social de la société . Bureau à la 1/2 journée et journéeSalle de réunion Bureaux équipés privatifs à partir de 10m² Surface de bureaux > 99m². Ce centre propose aussi un accueil professionnel et un ensemble de services à la demande indispensable pour le fonctionnement d'une entreprise : accueil téléphonique, fourniture de bureau, secrétariat, Courrier et courrier express... A noter que l'offre Coworking| Quattro Flex à partir de 285€ donne un accès gratuit et illimité (aux heures de bureau) à l'ensemble des espaces Coworking du réseau Multiburo en France, en Belgique et en Suisse.	565 Avenue du Prado, 13008 Marseille	https://www.neo-nomade.com/mb-47-bnpp_re/espace/1371/centre-d-affaires-marseille-multiburo-marseille-prado	Internet haut débit//Une personne à l'accueil//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires	1000	203	Non	Oui	Café offert//Espace confidentiel//Rangements sécurisés//Mise à disposition d'ordinateur//Accueil dédié//Secrétariat//Conciergerie
Regus Marseille - Prado	Immeuble stratégiquement bien placé sur l'avenue du Prado, axe majeur de la cité phocéenne. Le tunnel Prado Carénage, situé à proximité, offre un accès rapide vers le Vieux Port et vers les autoroutes. Le métro Périer situé à quelques minutes de l'immeuble, met la gare St Charles à 15 minutes. Belles vues sur Marseille. Parkings privatifs.	180 Avenue du Prado, 13008 Marseille	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8291/centre-d-affaires-marseille-regus-marseille-prado	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires	200	50	Non	Oui	
PALAIS DES CONGRES ET DES EXPOSITIONS DE LA BAIE DE SAINT BRIEUC	1 Espace partagé//1 Bureau	7 RUE PIERRE DE COUBERTIN, 22440 PLOUFRAGAN	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5157/coworking-ploufragan-palais-des-congres-et-des-expositions-de-la-baie-de-saint-brieuc		8h30 - 23h00	Coworking		148	Non	Oui	
LA MAISON ROUGE L'ADRESSE DU COWORKING	A proximité de la Grande Plage et au cœur du quartier impérial, le centre d’affaires et espace de coworking de Biarritz vous ouvre ses portes. Surplombant de ses jardins l'Avenue de la Reine Victoria, dans un hôtel particulier symbole de l'époque impériale, La Maison Rouge s’adapte à toutes vos activités comme à vos évènements privés ou professionnels.Bureaux partagés ou fermés, salles de réunion toutes équipées, cuisine-salle à manger, espaces de détente, terrasse, jardin arboré et salle de yoga font de cet espace un lieu de vie et de travail exceptionnel.	20 avenue reine victoria, 64200 Biarritz	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6933/coworking-biarritz-la-maison-rouge-l-adresse-du-coworking	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine	8h00 - 13h00	Coworking	300	45	Non	Oui	Casier//Scanner//Tableaux//Écran//Salle d'eau//Imprimante 0.1€/unité 0.35€/unité//Studio de yoga et fitness 20€/unité 20€/unité 15€/unité//Domiciliation 35€/unité 50€/unité
EKITEGIA	"""Ongi etorri"" (Bienvenue) à Ekitegia, un espace de coworking ouvert à tous et à toutes les langues.Côté pratique : > Un espace de 70m² avec postes de travail en partage, bureau individuel et salle de réunion.> Une cuisine et une petite salle de sieste (parce qu'il faut prendre soin de soi !).> Thé & Café offerts > Proche de l'autoroute, parking, et accès handicapé.Côté ambiance : > C'est un espace à taille humaine, vous y serez donc accueilli chaleureusement :) > Nous avons à cœur de faire vivre les différentes langues dans l'espace : le basque, le français, l'anglais... chaque langue doit pouvoir trouver son espace !> Pour autant l'ambiance est assez calme, idéale pour avancer dans ses projets sans être dérangé.Au plaisir de vous accueillir dans notre lieu !"	33 Avenue de l'Aquitaine, B13 - 1er étage, 64100 Bayonne	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7435/coworking-bayonne-ekitegia	Internet haut débit//Accès handicapé//Cuisine	8h30 - 17h30	Coworking	70	150	Non	Oui	Casier//Matériel de bureau//Matériel de sonorisation//Ordinateur portable//Parking//Vestiaire//Écran//Équipement de cuisine//Imprimante 0.05€/unité 0.1€/unité
Bar - Hôtel Holiday Inn****	Le Bar de l'Hôtel Holiday Inn**** est un endroit calme et propice au travail seul ou à plusieurs.Nous vous proposons un large choix de boissons (non compris dans le prix) et la possibilité de manger à la Brasserie K, restaurant de l'Hôtel, où nous proposons des plats du jour pour les déjeuners et dîners en semaine et un large choix de plats à la carte (non compris dans le prix).	34, Rue Paul Cézanne, 68100 Mulhouse	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8820/hotel-mulhouse-bar-hotel-holiday-inn	Internet haut débit//Accès handicapé//Une personne à l'accueil//Climatisation	7h00 - 0h	Hôtel			Oui	Oui	Estrade//Bloc-notes, stylos..//Micro sans fils//Parking public gratuit//Paperboard//Vestiaire//Vidéo-projecteur//Accès au bar//Mise en place de la salle//Café 2€/unité//Café à volonté/ menu brasserie (3 plats) 36€/unité//Journée d'étude 45€/unité//Plat du jour 13€/unité//Café/ dessert du jour 8€/unité//Demi journée d'étude 13€/unité
Cap Entreprises	Vous recherchez des bureaux pour y travailler ponctuellement ou des salles de réunion? Cap Entreprises, pépinière et centre d'affaires d'entreprises, peut vous accueillir du lundi au vendredi de 8h30 à 17h30. Bureaux de 12,5m² pouvant accueillir jusqu'à 3 personnes assises. Accès internet en illimité.4 salles de réunion qui peuvent accueillir entre 15 et 25 personnes et une très grandes salle de réunion avec la capacité d'accueillir 150 personnes assises. avec accès internet en illimité grâce à la WIFI.Petit coin détente? Bien-sûr au rez-de-chaussé vous avez accès au petit salon détente avec télévision, machine à café et même machine à bonbons, que demander de mieux?	30 avenue des châtelets, 22950 Trégueux	https://www.neo-nomade.com/mb-47-bnpp_re/espace/3313/pepiniere-tregueux-cap-entreprises	Internet haut débit	9h00 - 18h00	Pépinière		122	Non	Oui	Rangements sécurisés//Impression / copie//Téléphones fixe//Domiciliation//Vidéo projecteur 50€/unité
Centre d'Affaires Lorient Mer	Le Centre d'Affaires Lorient Mer, c'est un cadre de travail agréable, convivial et de standing, qui s'adapte à vos besoins : bureaux privatifs, salles de formation de 6 à 15 personnes, salle de visioconférence, espace de coworking de 6 places... Situé à La Base à Lorient près de la Cité de la Voile (facile d’accès parking), le Centre d’Affaires LM accueille des professions indépendantes, des tpe, des cadres d'entreprises délocalisés, des personnes en freelance ... dans divers domaines d'activités. Les bureaux et les espaces sont entièrement équipés et connectés. Vous bénéficiez d'une mutualisation des espaces et services : accueil, salle de réunions, café/détente, repro, terrasse, réseau Wifi, presse quotidienne ... et la possibilité de services annexes à la carte: impressions, photocopies, secrétariat, courrier…Le Centre d’affaires LM vous propose également de la domiciliation d’entreprise et la location permanente de bureau.	1 rue Honoré d'Estienne D'orves, 56100 Lorient	https://www.neo-nomade.com/mb-47-bnpp_re/espace/4340/centre-d-affaires-lorient-centre-d-affaires-lorient-mer		9h00 - 18h00	Centre d'affaires		34	Non	Oui	Café / thé 1€/unité//Plateau repas 10€/unité//Impression / copie 0.5€/unité//Parking 1€/heure//Domiciliation 30€/mois
Weréso Valenciennes	2 Espaces partagés//2 Bureaux	5 avenue du Sénateur Girard, 59300 VALENCIENNES	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7249/coworking-valenciennes-wereso-valenciennes		8h00 - 18h00	Coworking	400	220	Non	Oui	Table de réunion//Box de confidentialité//Imprimante//Tableaux//Téléphone//Vestiaire//Vidéo-projecteur//Écran//Accueil dédié//Conciergerie//Domiciliation//Gestion du courrier//Mise en place de la salle//Privatisation//Salle d'eau//Matériel de sonorisation 100€/unité//Place de parking 60€/unité
Cafe at Work	Seul Café Coworking de Valenciennes, à 2 mn de la gare SNCF.Espace de travail, 2 salles de réunion et 1 espace privatif pour vos rendez-vous professionnels. Ambiance cosy, accueil chaleureux. Chez nous, vous êtes chez vous !Venez comme vous voulez, ne payez que le temps passé. Wi-Fi, boissons et gourmandises à volonté.	42 Avenue du Senateur Girard, 59300 Valenciennes	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6151/cafe-coworking-valenciennes-cafe-at-work	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Climatisation	8h30 - 18h30	Café coworking	135	69	Non	Oui	"Café//Thé kusmi tea//Chocolat chaud//Jus de fruits//Sodas//Buffet//Ecran csubtil 65"" 4k//Smart tv 4k//Tableau blanc//Paper board//Plateau repas 14.9€/unité 16.9€/unité 19.9€/unité//Sandwiches ou salades 3.4€/unité 4€/unité 4.7€/unité 7.5€/unité//Impression a4 n&b 0.2€/unité//Impression a3 n&b 0.4€/unité//Impression a3 couleur 1.6€/unité//Impression a4 couleur 0.8€/unité//Scan 0.2€/unité//Domiciliation d'entreprise 40€/mois"
Coworking 42	Cet espace est labellisé C3, le label de référence du Coworking pour les professionnels! Le label C3 garantit aux utilisateurs des conditions de travail optimales, d’accueil, d’animation et d’équipement, pour plus de confiance, d’innovation et de souplesse.	375 av Mal de Lattre de Tassigny, 83600 Fréjus	https://www.neo-nomade.com/mb-47-bnpp_re/espace/4507/coworking-frejus-coworking-42	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Climatisation	9h00 - 18h00	Coworking		 100 m2	Oui	Oui	Table de réunion//Casier dédié//Microphone professionnel//Parking gratuit de 90 places et ligne de bus//Pc//Scanner a3//Paperboard//Porte manteau//Webcam//Ecran smart tv led incurvée samsung 4k suhd 138 cm//Equipement de cuisine//Imprimante a3 0.2€/unité
Pearl Partner	Le centre d’affaires Pearl Partner propose des solutions flexibles et évolutives en location de bureaux équipés ou salles de réunion, domiciliation d’entreprise et bureaux virtuels, espaces de coworking en plein cœur de la technopole de Sophia Antipolis dans les Alpes Maritimes 06.Profitez de nos bureaux de standing premium au sein du «smart building» Les Aqueducs à Sophia Antipolis, premier centre d'affaires à énergie positive de la technopole grâce à son dispositif photovoltaïque ultra moderne.	535 Route des Lucioles - Les Aqueducs, 06560 Valbonne	https://www.neo-nomade.com/mb-47-bnpp_re/espace/4955/centre-d-affaires-valbonne-pearl-partner		9h00 - 18h00	Centre d'affaires		30	Non	Oui	
Sundesk	Sundesk est un centre d'affaires et espace de travail en plein coeur de Sophia Antipolis. Sundesk propose des abonnements flexibles, avec ou sans engagement pour la location de bureau privé ou poste de travail en espace partagé. Un univers unique dans lequel vous prendrez plaisir à travailler. Toutes nos offres comprennent les prestations suivantes: - Internet très haut débit ( 1 Gbps symétrique)- Accueil de vos clients - Taxes (ménage, électricité...)- Emplacement idéal- Cabines téléphoniques à disposition (pour conférence téléphonique ou besoin de s'isoler)- Accès 24/7 par badge- Mobilier neuf et moderne- Accés aux différents workshops, ateliers et événements Sundesk- Grands espaces de travail- Lieu de rencontres professionnelles- Boissons chaudes à volonté- Accès au réseau interne Sundesk - Espace détente (canapé, balançoires...)En option:- Salles de réunion (à l'heure, la 1/2 journée ou à la journée)- Parking - Impressions - Réexpédition du courrier- Domiciliation d'entrepriseDes salles de réunion sont disponible à la location: à l'heure, à la demi-journée ou à la journée. De nombreux événements et ateliers professionnels sont organisés afin de favoriser les échanges et les rencontres.Une ambiance de travail exceptionnelle en plein coeur de la verdure Sophipolitaine.Vous allez adorer aller travailler	930 route des Dolines, 06560 Valbonne	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5611/centre-d-affaires-valbonne-sundesk	Internet haut débit//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires		 1000 m2	Non	Oui	Boissons chaudes offertes//Cabines téléphoniques//Box de confidentialité//Caisson de rangement//Télévision//Whiteboard//Cuisine//Des ateliers workshops//Sundesk lunch 15€/unité//Sundesk breakfast 5€/unité//Imprimante 10€/unité//Parking extérieur 30€/mois//Domiciliation d'entreprise 40€/mois 60€/mois 80€/mois//Réception du courrier 10€/mois//Gestion du courrier 25€/mois
Baya Axess Sophia-Antipolis	Grande technopole de l’économie française, Sophia Antipolis vous propose un cadre ensoleillé et convivial pour développer votre entreprise. Entrepreneur, dirigeant d’entreprise ou coworkers, le centre d’affaires Baya Axess Sophia compte un large choix d’espaces de travail adaptés à votre besoin.	400, Avenue Roumanille – Village d’Entreprises Green Side entrée 1 Bâtiment 7 , 06410 Biot	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7401/centre-d-affaires-biot-baya-axess-sophia-antipolis	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	8h30 - 18h00	Centre d'affaires	2864	149	Non	Oui	Accès wifi//Parking//Paperboard//Ecran tv//Douche//Accueil café 2.5€/unité//Petit déjeuner gourmand 6€/unité//Impression n/b 0.2€/unité//Couleur 0.4€/unité//Scanner 0.6€/unité
